"","Observation.id","Observation.date","Description","Media.file","Total.length","FPS","Oleamide.Exposure","Experimental.Day","Photoperiod","Human.Disturbance","Subject","Behavior","Behavioral.category","Modifiers","Behavior.type","Start..s.","Stop..s.","Duration..s.","Comment.start","Comment.stop","ind","obs","date","time","rtime","m1","m2","Subject_tax","newbehav","actlevel","newstart","newstop","newduration","rownum","stoptime","dur","row.id"
"322","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Hermit Crab3","Stationary",NA,"Alert Sitting","STATE",1233.404,1259.428,26.024,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:50:33,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1233.404,1259.428,26.024,719,12:50:59.024,26.024,NA
"323","P14 d9_Short","9/14/22 12:12",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep14 (post)/P14_d9_Short.mov",7203.2,29.97,"post","9","day","yes","Swim Crab2","Stationary",NA,"Alert Sitting","STATE",1234.408,1255.639,21.231,NA,NA,"P14","d9_Short",22-09-14,"12:12:00",12:32:34,"Alert Sitting","","Swim Crab","Stationary- Active",3,1234.408,1255.639,21.231,720,12:32:55.231,21.231,NA
"324","P15 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct4 (exp)/P15_d6_Short.mov",7203.2,29.97,"exposure","6","day","yes","Hermit Crab2","Roaming",NA,"None","STATE",1240.249,1300.248,59.999,NA,NA,"P15","d6_Short",22-10-04,"12:17:00",12:37:40,"None","","Hermit Crab","Roaming",4,1240.249,1300.248,59.999,721,12:38:39.999,59.999,NA
"325","P15 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct4 (exp)/P15_d6_Short.mov",7203.2,29.97,"exposure","6","day","yes","Hermit Crab1","Roaming",NA,"None","STATE",1240.414,1276.453,36.039,NA,NA,"P15","d6_Short",22-10-04,"12:17:00",12:37:40,"None","","Hermit Crab","Roaming",4,1240.414,1276.453,36.039,722,12:38:16.039,36.039,NA
"326","P14 d2_Short","9/7/22 12:24",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep7 (d2)/P14_d2_Short.mov",7203.2,29.97,"pre","2","day","yes","Hermit Crab3","Roaming",NA,"None","STATE",1241.918,1315.082,73.164,NA,NA,"P14","d2_Short",22-09-07,"12:24:00",12:44:42,"None","","Hermit Crab","Roaming",4,1241.918,1315.082,73.164,723,12:45:55.164,73.164,NA
"327","P13 d6_Short","9/11/22 12:24",NA,"/Volumes/McCoy Octo Data/PreyVideos/13/Sep11 (exp)/P13_d6_Short.mov",7203.2,29.97,"exposure","6","day","yes","Hermit Crab2","Roaming",NA,"None","STATE",1244.137,1559.078,314.941,NA,NA,"P13","d6_Short",22-09-11,"12:24:00",12:44:44,"None","","Hermit Crab","Roaming",4,1244.137,1559.078,314.941,724,12:49:58.941,314.941,NA
"328","P14 d9_Short","9/14/22 12:12",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep14 (post)/P14_d9_Short.mov",7203.2,29.97,"post","9","day","yes","Hermit Crab3","Stationary",NA,"Alert Sitting","STATE",1244.16,1384.159,139.999,NA,NA,"P14","d9_Short",22-09-14,"12:12:00",12:32:44,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1244.16,1384.159,139.999,725,12:35:03.999,139.999,NA
"329","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Swim Crab1","Stationary",NA,"Alert Sitting","STATE",1245.389,1282.963,37.574,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:50:45,"Alert Sitting","","Swim Crab","Stationary- Active",3,1245.389,1282.963,37.574,726,12:51:22.574,37.574,NA
"330","P16 d9_Short","10/7/22 12:18",NA,"/Volumes/McCoy Octo Data/PreyVideos/16/Oct7 (post)/P16_d9_Short.mov",7203.2,29.97,"post","9","day","no","Hermit Crab2","Roaming",NA,"None","STATE",1250.92,1535.695,284.775,NA,NA,"P16","d9_Short",22-10-07,"12:18:00",12:38:51,"None","","Hermit Crab","Roaming",4,1250.92,1535.695,284.775,727,12:43:35.775,284.775,NA
"331","P14 d9_Short","9/14/22 12:12",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep14 (post)/P14_d9_Short.mov",7203.2,29.97,"post","9","day","yes","Swim Crab2","Roaming",NA,"None","STATE",1255.64,1285.639,29.999,NA,NA,"P14","d9_Short",22-09-14,"12:12:00",12:32:56,"None","","Swim Crab","Roaming",4,1255.64,1285.639,29.999,728,12:33:25.999,29.999,NA
"332","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Hermit Crab3","Roaming",NA,"None","STATE",1259.429,1346.24,86.811,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:50:59,"None","","Hermit Crab","Roaming",4,1259.429,1346.24,86.811,729,12:52:25.811,86.811,NA
"333","P14 d9_Short","9/14/22 12:12",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep14 (post)/P14_d9_Short.mov",7203.2,29.97,"post","9","day","yes","Hermit Crab1","Stationary",NA,"Alert Sitting","STATE",1259.876,1292.452,32.576,NA,NA,"P14","d9_Short",22-09-14,"12:12:00",12:33:00,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1259.876,1292.452,32.576,730,12:33:32.576,32.576,NA
"334","P16 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/16/Oct4 (active)/P16_d6_Short.mov",7203.2,29.97,"exposure","6","day","no","Hermit Crab1","Stationary",NA,"Alert Sitting","STATE",1260.932,1306.735,45.803,NA,NA,"P16","d6_Short",22-10-04,"12:17:00",12:38:01,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1260.932,1306.735,45.803,731,12:38:46.803,45.803,NA
